oa_code,All households,Owned,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Social rented,Social rented: Rented from council (Local authority),Social rented: Other social rented,Private rented,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of a household member,Private rented: Other,Living rent free
S00131292,46,41,27,14,-,3,2,1,1,1,-,-,-,1
S00131293,48,27,11,16,-,8,8,-,13,12,-,1,-,-
S00131294,62,50,23,27,-,6,6,-,5,4,-,1,-,1
S00131295,44,34,19,15,-,5,5,-,5,4,-,1,-,-
S00131296,42,35,13,22,-,3,3,-,4,4,-,-,-,-
S00131297,62,54,17,37,-,5,5,-,3,2,-,1,-,-
S00131298,52,48,31,16,1,-,-,-,2,1,-,1,-,2
S00131299,50,45,24,21,-,2,2,-,3,3,-,-,-,-
S00131300,46,39,28,11,-,6,6,-,1,1,-,-,-,-
S00131301,73,56,34,22,-,12,10,2,4,4,-,-,-,1
S00131302,62,43,21,22,-,11,9,2,8,8,-,-,-,-
S00131303,68,51,20,31,-,9,7,2,7,7,-,-,-,1
S00131304,61,43,9,34,-,9,9,-,8,6,-,2,-,1
S00131305,43,37,21,16,-,1,1,-,5,4,-,1,-,-
S00131306,41,27,11,16,-,8,7,1,6,6,-,-,-,-
S00131307,74,62,26,36,-,3,3,-,9,9,-,-,-,-
S00131308,68,57,18,39,-,7,6,1,3,3,-,-,-,1
S00131309,62,50,14,36,-,8,8,-,4,4,-,-,-,-
S00131310,48,42,19,23,-,4,3,1,2,1,-,1,-,-
S00131311,49,36,11,25,-,8,7,1,5,5,-,-,-,-
S00131312,46,26,13,13,-,8,6,2,12,12,-,-,-,-
S00131313,73,46,16,30,-,13,12,1,14,13,-,1,-,-
S00131314,40,17,3,14,-,6,6,-,17,15,-,2,-,-
S00131315,33,28,6,22,-,-,-,-,5,4,-,1,-,-
S00131316,52,32,18,14,-,8,8,-,11,11,-,-,-,1
S00131317,27,16,6,10,-,8,6,2,3,3,-,-,-,-
S00131318,23,19,10,9,-,2,2,-,2,2,-,-,-,-
S00131319,33,30,16,14,-,3,2,1,-,-,-,-,-,-
S00131320,56,39,16,23,-,10,10,-,7,6,-,1,-,-
S00131321,48,27,9,18,-,11,11,-,9,9,-,-,-,1
S00131322,52,46,23,23,-,1,1,-,3,3,-,-,-,2
S00131323,59,41,26,15,-,18,1,17,-,-,-,-,-,-
